Snatch,Snatch,50,2,60,3,70,3,75,3x2,80,2x2
BSQ,BSQ,60,3,70,3x2,80,3x2
Clean DL,CJ,80,4x4
OHS,Snatch,50,3,60,3x2,70,3x2
