Hang Power Snatch, Snatch, 50,3,60,3,65,3,70,2x2
BTN Power Jerk, CJ,50,3,60,3,65,3x2,70,2x2
BSQ,BSQ,60,3,70,3x2,80,3
Snatch DL, Snatch, 80,3x2,85,3x2
Press,X,X,4x4
Hyperextension,X,X,7x2
