CJ,CJ,60,2+1,70,2+1,75,2+1,80,2+1x2
Hang Power Snatch,Snatch,50,3,60,3,65,3,70,2x2
BSQ,BSQ,60,4,70,4,75,4x2,80,3x2
BTN Push Press,CJ,50,3,60,3,65,3,70,2x2
Overhead Lunge,X,X,3+3x3
