Snatch off Blocks,Snatch,50,3,60,3,70,3,80,3,85,1
Snatch High pull off blocks,Snatch,90,3x4
FSQ,FSQ,60,3,70,3,80,3,85,2,75,3
Power Jerk,CJ,50,3,60,3,65,3,70,3,65,2
Good Morning,X,X,7x2
