Power Clean,CJ,50,3,60,3,65,3,70,3,65,3
Hang Power Snatch + OHS,Snatch,50,1+3,601+3,65,1+3,70,1+3x2
Clean Extension,CJ,70,4,80,3x3
BSQ,BSQ,60,3,70,3,80,3x2,85,2x2
Press,X,X,4x4
Lunch,X,X,3+3x4
