Hang Clean,CJ,60,2,70,2,80,2x3
Rack Jerk,CJ,60,2,70,2,80,2x2
BSQ,BSQ,60,2,70,2,80,2,85,2x2
Snatch DL,Snatch,70,3,80,3x3
