Hang Power Clean,CJ,50,3,60,3,65,3,70,3x2
Snatch High Pull,Snatch,70,3,80,3x3
Power Jerk, CJ, 60,3,65,3,70,3x2
Bench Press,X,X,4x4
Hyperextension,X,X,7x2
