Snatch off Blocks, Snatch,50,3,60,3,65,3,70,3,75,3x2
Power Clean, CJ,50,2,60,2,70,2x2
Rack Jerk,CJ,60,3,70,4x2,75,4x2
Snatch DL (2 halts),Snatch,75,3x2,80,3x3
Press,X,X,4x4
Good Morning,X,X,6x3
