Power Snatch,Snatch,50,3,60,3,65,3,70,2x2
C+J,CJ,60,3+2,70,3+2,75,2+1,80,2+1x2
Snatch High Pull,Snatch,80,3x4
FSQ,FSQ,60,4,70,4,75,3,80,3x2
Lunge,X,X,3x4
